net,length_um
_23928_,560.88
_18763_,560
_07094_,559.265
net429,558.93
_15463_,557.82
_18558_,557.56
_24805_,557.185
_12141_,556.76
_11745_,556.6
_23867_,556.4
clknet_4_15_0_clk,556.16
_19784_,555.96
_24175_,555.41
_19718_,555.4
_23870_,555.33
m0.A12\[4\],554.85
_11150_,553.66
_08465_,553.65
net268,553.64
m1.B12\[15\],553.2
_19744_,552.68
_25121_,552.655
_18389_,552.26
_09472_,552.22
_20880_,552.09
m2.A12\[2\],551.68
_18641_,551.02
_18631_,550.7
clknet_4_12_0_clk,550.6
_24888_,550.035
_18549_,549.92
m0.A21\[10\],549.78
_08794_,549.38
_24690_,548.89
_05548_,548.59
_20102_,547.93
clknet_0_clk,546.77
_09365_,545.96
_18629_,545.34
_20866_,544.96
_12158_,543.29
_24730_,543.075
_24881_,542.61
_23131_,541.58
_01050_,541.44
_00828_,540.54
_20154_,539.99
_19836_,539.66
_24945_,539.65
net771,538.38
_13342_,538.2
_24904_,537.94
_25126_,537.5
_24143_,537.265
m0.B21\[0\],536.66
_09560_,536.65
_18908_,536.53
_09750_,536.03
_12878_,535.57
_11976_,534.32
_18466_,534.1
_19079_,533.67
_15106_,533.32
_18258_,532.44
_11093_,532.11
_18780_,531.95
_24632_,531.54
_06305_,531.5
_18637_,531.38
_25615_,531.27
_24727_,531.1
m2.A21\[2\],531.04
_11812_,530.33
_01861_,530.255
_18361_,529.47
_09970_,528.76
_09017_,528.72
_18226_,528.22
_05422_,527.89
_18553_,527.56
_18748_,527.51
_24139_,526.52
m0.A12\[3\],526.39
_05414_,524.67
_08034_,524.34
_13032_,524.26
_01780_,523.98
_22522_,523.79
_18765_,523.78
_05446_,523.615
_11672_,523.325
_25312_,522.84
_01930_,522.67
_05436_,522.56
_05525_,522.53
_06546_,522.4
m0.B21\[8\],522.38
_05438_,522.1
_09995_,522.03
_23130_,521.985
_05530_,521.04
m0.B12\[7\],520.69
m0.A22\[0\],520.58
_18812_,520.43
_09428_,520.4
_16227_,520.2
_05755_,519.645
_18232_,519.04
_07893_,518.47
_05449_,518.25
_07356_,517.99
_04962_,517.13
_24103_,516.94
_18324_,516.86
_07958_,516.74
_15172_,516.42
_18744_,516.39
_11051_,515.78
_11040_,515.445
_05569_,515.27
_05463_,514.445
_12052_,514.44
_16191_,514.42
_05676_,513.665
_05432_,512.82
_01862_,512.3
_10853_,511.56
_10941_,511.12
_01887_,510.98
_03528_,510.94
m2.A11\[5\],510.85
_01839_,510.75
clknet_4_10_0_clk,510.31
_20957_,510.215
_21861_,509.9
_05567_,509.53
_05458_,508.67
_14715_,508.12
m0.A21\[0\],507.98
_01777_,507.55
_18229_,506.72
m0.A12\[15\],506.52
_11844_,505.21
_05531_,504.8
_21877_,504.565
_18332_,504.52
_06469_,504.31
_21871_,504.035
_11139_,503.915
_06527_,503.04
net1011,502.995
_07813_,502.14
_00922_,501.92
_08012_,501.66
_08977_,500.71
m2.A11\[9\],500.3
_02431_,499.5
_14869_,499.08
_18579_,499.06
_18691_,499.05
_06803_,498.56
clknet_4_14_0_clk,498.205
_03420_,497.26
_18963_,497.215
_21611_,496.54
_07926_,496.51
_24937_,496.345
_16817_,495.94
clknet_2_3_0_clk,495.79
m0.A21\[9\],495.695
_18572_,495.56
_06406_,495.42
_19175_,495.39
_07807_,495.06
_10864_,494.88
_01237_,494.74
_11757_,494.74
_18327_,494.62
_18569_,494.52
_07905_,493.98
_06796_,493.94
_03375_,493.86
_01941_,493.28
_10004_,493.28
_05456_,493.07
m2.A12\[11\],493.01
_14944_,493.005
_06799_,492.74
_18803_,492.34
_18329_,491.88
clknet_2_2_0_clk,491.87
_25162_,491.57
_05471_,491.16
_18815_,491.05
_12132_,490.715
_06792_,490.03
_18657_,489.8
_18307_,489.58
m2.A11\[0\],489.58
_12106_,489.395
_18304_,489.39
_15459_,489.3
_24100_,489.16
_03428_,489.11
_04953_,489.08
_18489_,489.08
_21872_,489
_24651_,488.84
_18247_,488.58
_15656_,488.29
_07842_,486.26
_02077_,486.02
net371,485.91
_23061_,485.7
_18654_,485.4
_03363_,485.38
_18574_,485.22
m2.A12\[0\],485.17
_24931_,484.7
_06899_,484.525
_19077_,483.76
_06794_,483.71
clknet_2_0_0_clk,483.51
_03519_,483.5
_04943_,483.42
_19201_,483.25
_18285_,483.16
m2.A22\[1\],483.16
